,y
17588,4
7427,1
2532,0
7999,3
12340,4
4696,2
1878,4
15847,3
8576,1
1442,4
9149,4
7581,3
9771,0
17578,4
16228,2
1470,0
5599,0
12239,2
11256,0
17751,1
8984,0
9220,0
3745,0
7895,4
5020,0
11050,1
3286,4
17647,1
9879,4
986,2
7149,4
17038,3
6461,4
13915,4
15726,4
14212,3
15375,4
6212,1
14155,4
13012,0
17029,4
5172,0
17595,0
6412,4
3347,0
5481,4
10284,1
14010,3
3524,0
9524,3
17127,0
7897,4
4075,3
11770,2
11014,3
9275,0
14842,4
10040,0
10032,0
17700,2
6986,0
8195,0
11841,0
15496,1
7578,1
6671,1
10773,4
7516,2
17011,0
10897,4
1028,0
13717,2
1296,0
14353,1
8995,2
6128,4
658,0
5931,4
6810,3
2339,3
15760,4
15608,2
10109,0
16389,3
12921,4
5821,0
12414,0
3896,4
711,4
6926,4
223,2
8945,0
7227,3
15850,3
14074,4
5701,2
12873,0
4885,1
9467,0
6908,0
10988,0
17347,4
16365,0
1716,4
14304,4
15788,2
6580,1
5446,0
311,4
6313,4
680,4
4950,3
13384,0
11529,0
2367,4
9207,4
6601,4
15820,0
16694,4
12378,3
3549,0
7943,3
108,0
6906,4
10831,3
8847,4
10784,2
4240,1
3059,3
5136,3
7961,3
14502,1
11802,0
7774,0
13612,4
8811,2
12619,4
12055,4
7602,4
6725,0
7949,1
8954,0
10441,4
2474,2
10713,0
9589,0
11144,1
16292,3
9392,4
12726,4
2886,4
7588,4
7402,0
17230,4
5375,2
15295,4
16563,0
14707,4
8614,0
10489,4
16107,0
7477,0
8600,4
15010,4
6458,2
16169,1
12237,1
17713,4
16974,2
7338,2
10474,4
1947,2
15487,0
3111,1
4501,4
3648,0
554,2
16792,3
15983,1
15695,4
13153,1
20,0
4128,1
12734,0
11915,1
7368,0
6917,0
13918,4
1053,1
2232,0
13258,1
16047,4
8073,4
9982,2
1725,2
2624,3
2764,1
3562,1
13902,0
14005,2
3104,0
8983,4
8676,4
8845,4
8445,2
11459,4
14259,4
12911,1
11616,0
14896,4
17425,1
11225,0
5929,0
3724,0
2331,4
5756,0
2415,1
12716,4
1078,0
1167,4
7513,0
11474,4
11627,4
1819,0
754,4
1202,1
9282,1
8272,0
5686,2
1090,0
1291,0
5196,2
16203,4
5140,2
10390,1
402,0
892,1
6956,4
3696,4
275,2
5968,4
4282,1
10697,2
7108,2
2634,0
13593,4
16421,4
621,4
5693,0
8097,1
16865,0
1921,4
3251,3
11752,1
17069,4
6839,4
7864,1
14523,4
15012,4
3939,2
14933,4
16249,1
8291,0
13793,2
3507,0
6098,1
6884,0
1983,4
14420,2
7995,4
3795,3
16854,4
13698,4
364,4
10451,0
16578,0
5948,4
998,4
13267,2
13591,0
15179,3
4839,0
661,1
14498,1
13867,0
15735,4
13466,2
2044,2
13930,4
12475,4
10525,0
10332,4
15482,0
2853,3
13313,0
13582,3
9345,4
9494,4
9336,2
726,1
6767,4
7519,4
2882,4
10454,3
17098,3
5655,1
11778,4
14849,0
4986,0
337,3
5464,3
1657,2
824,4
6654,2
691,3
3369,3
4817,4
13534,0
3756,0
10920,2
11747,0
14664,4
2984,0
11886,4
6651,3
12697,3
1721,1
1398,4
226,4
1061,4
3566,4
4670,1
5142,4
12202,3
10408,4
12370,0
13230,0
8379,1
2179,3
3606,2
6286,4
7931,4
5798,4
586,1
5935,0
4958,0
4356,0
9089,4
6553,4
1168,0
6576,1
5223,0
1006,0
13735,3
14605,4
6323,1
16380,1
11965,0
9734,0
14326,3
2477,3
17878,4
5679,4
12793,4
1954,2
16572,1
13903,4
10308,2
9812,4
17171,0
16957,4
513,4
2690,4
2574,4
6259,0
3440,2
1315,3
12482,0
12891,3
15761,4
4130,2
6766,3
9533,4
17433,4
7129,4
12944,2
14901,0
16138,0
8709,3
3601,4
14855,0
7034,0
12262,1
585,4
3084,4
9071,0
2818,4
15500,2
5544,4
1068,0
7135,4
3407,0
454,1
16289,3
8858,0
6911,4
7429,4
16206,2
32,3
17864,3
7751,0
1627,0
8392,4
7072,0
14118,2
10843,2
17632,2
13545,3
7598,3
5297,4
8986,3
5591,3
14577,4
7390,0
1776,4
16344,0
5066,3
13970,2
3020,4
5858,0
5747,0
17604,1
3974,4
14610,2
14983,2
4335,2
5841,4
6764,2
1348,0
9273,4
12633,2
9648,0
11843,3
10906,4
10515,4
412,0
11555,3
17164,0
10214,4
5389,4
11012,4
15186,1
8222,1
10386,4
5410,0
15669,0
15242,0
6785,2
8096,0
4047,4
4311,4
12664,1
10563,3
8160,0
12431,0
7002,0
9835,4
9850,0
9743,0
14386,0
8896,1
9113,2
3036,4
9008,2
14254,2
928,4
15724,3
14506,4
4183,4
7620,3
5887,0
3481,2
17234,4
4733,3
1051,0
8681,3
16791,3
14504,0
3882,4
10046,2
7481,1
16783,4
8284,0
5267,4
17211,4
5470,2
15797,4
6558,1
1452,4
14338,0
10495,0
2819,3
12395,3
11869,0
12527,2
3810,1
15712,0
16976,4
16154,3
16570,0
112,4
1733,1
8833,4
1099,2
15486,4
11424,2
1103,3
2316,0
10218,4
3435,4
17058,0
3429,0
9314,3
6982,4
1404,4
5381,3
4522,4
5625,4
5802,0
14585,0
8916,0
150,0
4936,3
1031,0
4654,4
4613,4
9078,3
16821,1
11804,4
11279,0
2088,0
9172,0
1468,4
11611,4
2598,1
3055,4
1010,0
2813,4
6042,0
742,3
1467,2
5189,4
7633,0
6905,0
16709,0
10139,3
5729,0
3680,2
12792,2
4312,4
1039,1
15914,4
414,4
3663,0
6835,0
145,1
17335,4
4636,4
17527,4
7412,1
1903,0
15331,4
2225,4
6202,0
7047,2
3806,0
6272,0
6010,0
17170,0
16716,0
14962,2
16037,1
10939,0
6550,4
3212,4
11592,3
5882,1
16091,0
1642,0
1334,0
9462,2
7485,4
11603,4
10168,1
7556,1
14992,1
1547,4
3387,0
16602,3
16877,0
5967,0
13493,2
16560,0
314,4
3766,4
2916,4
11268,1
1339,1
7893,3
13893,2
6236,3
8420,0
13605,1
11972,4
12565,0
10473,3
211,4
5264,4
15984,2
17893,1
39,0
5956,0
10418,3
11130,0
12180,4
6928,4
14475,4
14322,2
16917,4
6094,2
9338,0
7631,1
11352,1
365,4
13737,4
10523,0
11506,1
14950,0
15778,4
15160,2
10456,0
10169,4
2513,0
14053,4
2266,4
15928,3
13706,3
6521,1
15365,0
514,3
16788,4
13233,3
799,1
6442,1
4236,4
2218,0
13873,0
5106,1
2929,0
9527,4
10224,4
12466,3
6284,1
16627,0
6518,0
293,2
169,0
11812,0
15072,4
10979,1
11501,4
17391,4
4566,4
5644,0
11169,3
7158,4
17045,4
12569,4
3056,4
1047,0
11207,2
6311,3
11891,4
6783,2
8493,2
3832,1
1995,4
7692,2
13058,2
9443,4
17763,2
17338,1
761,1
12753,0
3183,0
12193,3
663,0
2445,3
13485,4
3889,0
11879,3
7291,4
516,0
5977,4
3045,4
15477,4
15885,0
6358,0
7807,0
8862,0
1686,0
1514,4
3078,3
16010,4
5379,3
6191,1
3330,3
996,4
4810,4
6901,4
2529,0
11935,3
16944,1
16006,3
12134,0
1738,0
9153,2
8740,4
3166,1
7165,2
11625,0
6794,3
6826,4
8699,3
12191,0
6815,0
13009,2
3301,1
3058,0
10825,4
2893,4
12894,4
91,3
11494,0
11773,0
12584,0
11686,4
4093,4
15436,1
1206,3
4991,1
960,1
5166,2
14423,4
16152,0
3027,3
10335,2
12214,0
12123,0
9097,3
6376,1
11025,0
9501,4
16893,4
14350,4
15183,2
13499,0
4908,0
1412,0
2125,4
7741,2
17662,0
9378,1
1730,1
7116,3
11850,1
10857,0
8454,3
2953,4
10427,4
17558,3
1784,2
13581,1
10479,0
10587,3
4774,3
17637,1
8953,0
1936,2
10312,0
4833,2
7856,4
313,3
4994,3
1185,1
12304,1
17797,2
9185,2
14391,1
12495,4
11489,4
8604,1
17369,4
15792,0
5530,4
12216,4
11240,3
13541,2
7180,0
17119,4
2446,1
16100,0
11679,3
12589,3
10982,1
301,1
5286,0
14051,0
12455,0
14708,3
16522,4
7377,0
1754,0
8789,3
1510,3
5215,0
14189,0
9597,4
15447,0
7413,1
2711,1
10458,0
4697,1
5404,3
1829,4
11995,1
12599,3
5178,1
14152,0
16014,0
5224,2
12120,4
14229,4
6372,2
8907,1
5478,1
15415,4
13351,0
15021,0
6457,0
7708,4
4476,1
11369,4
7405,4
8881,3
12680,4
14821,4
13346,2
13610,0
14794,2
13447,4
1626,2
14020,0
11347,1
5770,0
13874,4
2035,0
9736,2
17911,4
4191,0
17741,0
15621,1
6773,2
9659,0
13832,0
3738,0
2675,4
6432,3
7590,1
9690,0
16295,1
9126,3
16571,0
9689,1
8006,4
15378,0
4296,1
17453,4
4479,2
1290,1
2512,0
12965,2
1037,4
12586,2
13162,0
8624,4
8100,2
14825,2
11175,4
9321,2
12176,4
3468,1
3933,2
6754,4
256,0
12763,4
13441,3
15432,3
16167,0
4749,0
13057,0
7112,1
11565,1
5720,0
15360,2
17660,4
16824,0
7900,4
17654,4
4278,0
6295,4
12659,4
9105,2
14493,4
11004,4
940,0
10182,1
14769,0
17320,0
14394,0
5452,2
14974,0
909,1
12946,0
12566,4
15407,1
11560,4
14119,3
9288,4
16285,4
13721,4
14497,4
3588,2
17117,4
8705,2
13710,1
17839,4
1650,0
7069,4
5448,3
770,3
478,0
16383,4
11838,4
14500,0
9974,2
14068,1
4314,3
6261,4
15973,4
8399,3
12976,3
15816,4
17689,1
13875,0
16317,4
7659,4
9878,0
8728,0
12146,4
14588,3
15564,3
1444,3
5943,1
15738,4
3470,3
4873,4
12901,4
5476,2
4781,1
6685,4
2875,1
1034,4
9542,4
6246,4
12154,4
14419,1
15652,4
7624,4
687,0
6396,3
17371,0
16581,0
669,2
12700,3
8048,2
6979,1
8427,0
13319,2
12420,1
13284,1
11544,0
14226,2
6501,3
11978,1
2019,4
9971,3
8711,4
13660,3
12032,4
1906,4
5342,0
7597,4
12603,0
13615,3
1747,0
15929,2
2550,4
5222,0
1082,2
11543,2
8678,1
823,4
9628,0
17033,2
8578,4
3683,0
3290,2
16955,2
3735,0
11825,4
2206,1
14197,1
10091,4
14871,4
9495,0
563,0
12449,0
12904,2
12476,1
14899,2
2469,1
13237,1
6760,2
3015,0
8308,0
5195,0
17594,2
1966,1
3358,4
5815,2
12372,4
8494,1
1374,3
1746,4
15994,4
8900,3
15231,0
6711,3
6492,4
11254,4
16886,2
16963,4
4758,3
6843,2
8432,4
10490,4
12035,0
17622,2
10045,4
17078,2
7038,4
1610,0
9127,0
4932,2
12597,4
17867,0
13,2
9799,4
2051,3
7973,0
15328,0
5748,1
7589,0
14427,0
13226,2
5386,1
6953,2
1052,2
5087,2
15616,1
13521,4
6522,4
16603,0
4249,0
16924,4
8439,4
2812,2
11385,3
5416,0
8380,0
4421,4
7998,2
952,2
3972,0
17518,4
17317,0
7238,3
7066,4
12178,2
3293,2
6171,0
15951,3
5509,1
16150,4
9399,4
16838,3
15880,2
4081,4
15275,4
10252,1
17780,3
17142,0
4605,4
2253,0
334,2
16387,0
10565,0
6565,3
1160,4
17287,1
1273,0
11992,2
15550,2
13638,2
7786,3
7115,2
14357,0
1437,0
66,4
16795,4
1492,3
14586,1
11649,3
3986,1
11811,0
2730,0
13983,3
13080,3
3744,4
2431,4
12183,0
13839,4
8671,3
17246,4
13175,4
15498,2
14430,4
12771,1
6946,3
8325,4
11613,2
5497,4
13972,1
17321,4
843,3
11451,2
10797,4
901,4
2905,0
15078,3
8583,4
11101,3
17528,0
5161,2
10735,0
4392,4
2996,4
212,2
5571,4
1152,4
2216,4
4369,1
14481,1
8857,0
5013,4
15601,1
12477,3
8991,4
5123,4
14573,0
12707,2
11659,0
2093,4
3165,1
16965,4
6955,4
10524,2
4108,1
17600,4
96,4
9573,4
11588,0
11056,4
5852,4
8636,4
6073,1
10363,4
8810,4
455,3
16457,0
12783,0
4284,0
6960,4
17065,1
12877,4
4591,3
7065,4
6288,0
5641,1
15717,2
10321,2
16475,1
6664,2
16351,3
12444,4
6686,0
4970,4
9980,3
13714,0
14292,0
10542,0
14598,4
3640,1
4217,3
3,0
4315,0
7989,0
16394,1
1882,3
9154,4
3943,4
2369,1
9961,0
6402,0
681,4
10080,3
12182,0
406,3
10852,1
15111,2
7436,4
4570,3
16384,4
12479,3
7319,0
7036,0
16063,2
15109,4
13749,2
11897,0
10910,4
11803,0
2467,3
15620,4
4721,4
15930,0
16036,2
9623,4
15011,1
14909,2
