,y
1749,4
9067,1
560,2
1068,0
4514,4
4581,0
5565,3
4235,4
14008,2
10043,4
3558,0
8563,2
2050,4
10400,0
12405,3
11601,1
10111,1
9687,0
6991,1
6562,0
10151,4
3324,0
9734,0
16101,3
1894,4
15292,4
13296,1
2192,4
17368,1
6139,1
16216,2
1153,0
14220,1
3438,1
6167,0
15603,0
10850,2
10255,4
3182,4
3131,4
6975,1
16897,3
11570,4
16515,1
17101,4
13630,4
3927,4
2364,2
3717,0
13207,0
1979,2
15491,0
6423,0
11075,1
4056,3
14313,4
11465,0
248,3
5533,4
16730,2
1483,4
3584,4
15206,4
3765,4
9910,1
4272,4
13651,0
14790,3
4689,0
10052,0
9251,0
11124,0
12903,1
7090,4
11550,0
12040,4
11708,1
17198,4
16135,4
14952,1
4331,0
9761,0
17865,4
885,4
10596,4
7600,4
902,0
15395,0
10874,4
8496,3
5680,2
8210,4
4074,4
5038,0
9869,0
14780,2
12426,3
5950,1
12898,3
4234,4
2912,3
3811,4
10773,4
580,0
11918,0
16378,4
2961,0
2601,4
1919,0
13657,1
16181,2
14727,4
10096,2
3951,0
11679,3
14632,1
7798,4
3746,0
8316,3
9998,4
6951,0
14017,1
11217,1
7891,2
16957,4
8487,2
4152,0
12265,1
4396,4
12035,0
9036,4
9373,4
7823,1
5238,0
12196,0
2754,0
5200,0
5225,4
7660,4
15734,2
8330,0
1855,4
13681,3
12931,4
14389,0
11895,0
10431,0
8561,3
11731,4
7345,3
11967,4
4075,3
957,2
15323,3
1856,4
1217,4
15396,3
54,1
17220,4
10382,0
15202,4
8586,1
10492,2
7147,3
8960,4
3841,0
16672,4
4520,4
9430,0
2115,1
6561,2
3111,1
17779,1
5721,4
519,0
8438,4
11185,0
5748,1
6200,4
4326,1
6605,4
15851,4
12530,2
10412,3
963,0
3177,1
16911,1
1,1
9829,0
2549,4
17633,0
7880,0
1432,0
13913,3
5634,3
17579,2
16490,3
2204,0
6325,4
14367,1
7242,0
13164,2
8835,3
9226,3
11492,0
2374,1
744,2
9549,0
16972,3
10750,3
12541,2
875,0
1145,4
12442,1
10015,3
10763,1
2438,4
13777,2
4345,3
6097,3
12467,0
11209,3
16702,3
8362,0
16740,1
7201,4
5499,4
15080,3
17829,1
7179,3
2990,4
5742,1
10719,4
13317,3
7323,0
2658,0
12449,0
16865,0
136,4
1969,0
3829,3
17333,2
3703,1
10927,0
1586,0
5386,1
14966,3
14793,0
7971,0
6426,1
11885,4
8337,0
11073,4
268,4
16410,4
2277,2
16768,3
583,0
11848,3
9500,3
2207,0
11907,4
4557,0
12049,1
6414,1
15659,4
11441,0
11930,4
12381,0
14229,4
9841,2
10329,1
4765,2
15629,1
11691,0
8051,3
6807,4
10392,4
10970,4
11472,0
16414,4
6976,1
4380,2
9449,0
16631,2
9052,0
7837,0
8055,1
6382,4
8883,4
5989,0
10380,4
9330,0
2865,2
16487,4
12159,3
13042,0
1696,0
13239,0
12387,3
12637,0
13919,0
14819,0
8332,4
13947,4
5425,0
15761,4
887,3
2430,3
1426,3
12419,4
4431,4
9456,1
278,4
8818,1
1228,1
11883,4
6598,4
11041,3
7785,1
16942,2
2091,0
1801,0
9809,2
16941,4
10465,0
14057,0
9651,3
844,0
13403,0
14292,0
6897,4
9454,3
8528,4
1797,4
8533,0
2913,4
4779,0
9413,2
9244,3
16513,4
12551,0
5910,0
16425,2
11600,3
4778,3
13354,2
4040,0
14120,3
14054,4
8901,1
8224,2
931,1
6451,1
2131,4
2828,2
10404,3
8774,4
2695,4
8669,1
894,2
11000,3
8113,3
9342,4
152,2
5800,1
15452,0
221,4
15437,0
2030,4
6309,0
6787,3
11851,0
15336,1
14566,1
11123,2
1836,3
3827,1
9854,3
3264,2
16020,0
12623,3
2107,4
9395,1
17748,1
408,1
541,3
10125,4
6550,4
424,1
7565,4
6384,0
12329,4
8436,4
17317,0
394,1
16041,3
17308,4
16688,0
9123,4
11688,4
5822,1
2815,4
3371,1
10401,1
2406,2
9602,4
13780,0
5044,4
5058,1
4185,4
9870,1
13013,3
898,0
8104,4
14487,4
17301,3
2473,1
690,0
6059,4
13141,2
11756,0
10045,4
9572,3
3042,0
2857,2
17466,1
15873,1
5602,1
11068,1
14892,0
4850,1
4028,1
1777,4
16683,0
17160,1
3860,4
5609,0
3593,4
17211,4
14059,2
14508,4
1047,0
13440,1
12301,4
15155,3
11866,0
4844,1
9201,0
8742,2
2270,1
17256,4
4527,1
17874,4
10581,0
14653,0
1471,0
11741,0
11996,0
16062,3
2391,3
7738,4
7615,2
644,4
12808,3
3282,2
12830,4
14884,0
4200,0
6721,2
14666,4
3139,4
13612,4
6591,0
1051,0
2894,3
10424,0
12268,4
9832,2
5497,4
7107,3
11290,1
3931,1
12240,1
15821,0
15945,4
3776,0
14818,3
1614,2
12366,1
12488,2
8681,3
14886,0
3591,4
3140,0
8471,0
12472,0
9334,1
10046,2
10487,1
11460,2
8213,4
11312,0
14878,3
16318,1
14703,4
2967,3
6990,4
1912,0
1397,4
6482,0
10373,2
1189,4
307,0
3215,0
552,3
12311,4
5839,1
17242,3
2049,4
3657,3
4981,0
2986,0
7936,4
17319,3
3573,2
9845,3
9847,4
17638,3
4134,2
3853,0
4855,4
17680,4
15427,4
15329,0
6468,4
4750,4
14999,2
12783,0
17465,4
3849,0
7233,4
3572,0
2386,0
16635,1
16875,2
3876,4
11854,0
8708,3
13583,0
13809,4
487,1
14722,4
17525,4
12052,4
8700,2
13256,2
1859,0
11892,4
10120,1
14324,4
1004,4
3871,3
16188,3
16472,4
5235,4
2183,4
265,3
14355,0
13726,3
5334,2
15138,3
15712,0
7341,4
616,4
14103,4
337,3
11935,3
15196,0
17897,2
14705,4
16073,2
15713,3
6165,4
16204,2
12458,2
11404,0
14882,1
9856,3
7248,0
440,4
16928,2
12217,2
17561,0
1864,4
6879,0
3757,4
8156,4
11531,0
11076,4
9627,3
16932,0
9340,2
8910,2
5007,4
7331,2
14116,3
5840,0
8432,4
10805,2
11132,4
5375,2
10405,0
2098,0
12310,1
568,3
4216,4
9978,4
3567,2
9361,0
13174,0
6535,3
9544,2
10696,4
8005,2
14005,2
8531,1
15457,3
5556,0
7498,3
8599,4
8373,1
5257,1
15879,4
17575,0
363,4
16705,3
14893,3
8962,2
12870,1
15415,4
15536,4
252,4
15861,3
17495,4
17341,2
1142,0
5834,2
15617,1
8545,4
5736,3
7947,0
5430,0
8701,4
3664,1
5301,1
2337,0
6566,2
12131,4
17365,1
8746,0
10570,4
16000,4
13400,3
6781,4
10333,4
13499,0
2084,2
1915,1
11506,1
434,4
15736,0
6622,0
3515,2
4587,3
1398,4
613,4
11699,0
11561,4
15239,4
1226,1
5480,3
7111,1
13836,0
13302,4
16035,0
517,2
820,0
3210,0
5290,4
4892,3
6171,0
2907,2
15747,2
7222,0
314,4
7005,0
242,0
12490,3
16655,0
1674,4
15930,0
9964,0
11568,2
14939,1
7875,4
11674,2
12167,1
3123,0
4543,0
13404,2
8289,0
8417,1
15338,1
9396,4
11500,0
7266,0
4377,4
17645,4
12509,3
7217,0
13307,0
3025,0
12137,0
2708,4
10567,4
11824,1
1175,4
14778,0
6867,0
4961,2
1456,3
17363,4
4085,2
8054,4
5633,4
3398,0
10184,0
4517,3
16033,1
3330,3
2604,3
3529,4
12795,1
5205,0
8288,0
8817,0
1027,2
1903,0
4467,0
9289,0
12437,4
17033,2
7884,4
2299,0
8990,0
5222,0
15570,4
6987,4
9087,1
4775,2
6661,4
12345,3
11234,0
17517,2
2238,0
11351,0
17566,1
849,2
4027,3
12976,3
2957,1
8939,0
3219,4
1831,0
6924,4
6297,4
1617,0
853,0
13030,4
7780,1
5367,4
3096,4
5278,0
15065,4
10246,4
14410,1
11368,4
9951,2
13468,0
15273,4
3149,3
7046,0
14198,4
12556,0
355,4
17708,1
3310,4
12101,2
15132,0
10104,3
5437,0
16703,0
6779,4
11799,0
3312,0
4390,1
17850,0
8959,4
5554,0
12936,2
7342,0
1598,0
1285,2
6001,1
2018,1
3749,4
15874,0
12885,0
9536,3
16614,4
10753,0
8762,3
8576,1
14831,1
13691,3
6208,4
10586,2
15579,4
5953,4
3407,0
10561,4
310,0
1351,2
17034,1
7362,0
15694,1
17174,0
13336,3
9641,3
8123,0
17104,0
11817,2
5674,1
17183,4
11503,4
854,2
15103,4
2471,3
2066,4
14756,0
14032,4
5349,2
5899,0
8361,2
16588,1
2757,4
16380,1
8389,3
17506,4
14319,4
17801,1
163,4
1429,1
231,4
16996,4
7286,2
9479,3
9789,0
6993,1
13228,2
14423,4
17456,4
7550,0
10826,2
16097,1
7605,4
5364,4
10951,4
16100,0
8877,2
16356,0
13813,4
17825,3
762,0
4299,3
2817,3
10710,4
16793,0
4552,3
6794,3
16601,0
10425,4
11827,4
1102,4
2593,1
1989,3
14321,3
13311,0
17255,2
3248,0
1254,0
6487,0
13516,1
8258,4
9255,1
8409,0
13475,4
9504,0
14774,0
6910,0
496,2
8693,4
5210,1
4271,3
15287,0
1253,4
2295,0
961,4
4803,0
10020,2
9946,0
611,0
14619,3
17700,2
15957,2
9688,4
14592,3
13637,0
261,4
9787,4
1282,3
11413,3
11232,4
14732,2
10153,0
8404,3
14255,4
8382,2
8860,4
12889,1
12318,0
5176,0
1277,0
2456,0
5903,4
464,3
9665,0
2669,4
9849,4
12967,2
705,3
17754,0
9028,1
6585,4
13382,1
6627,2
5905,0
12575,0
6906,4
9714,1
12118,0
8073,4
9103,0
2859,4
9045,0
12588,4
1802,4
1846,4
15771,4
2599,0
11053,0
12452,0
13365,0
9374,4
5172,0
170,0
12178,2
10345,4
13572,2
4647,1
17707,4
3299,4
1361,1
13659,0
7829,0
3940,3
10113,4
6464,0
13237,1
14489,3
1623,4
14153,3
14126,4
14542,3
468,0
12078,2
639,1
12546,1
11007,0
15716,0
10432,2
11470,0
9510,3
13369,4
9903,4
9423,4
14779,4
692,1
12190,2
7515,1
6364,4
10974,3
14387,3
703,4
12277,4
11579,4
11052,4
7566,4
8719,3
2969,3
5696,4
4323,2
14518,4
11057,0
2516,2
2924,4
13911,4
9428,0
12525,3
6128,4
6141,4
2594,4
15635,0
15535,3
5262,3
16660,1
13591,0
8793,4
10876,2
1557,4
14376,2
66,4
16548,4
17877,0
6070,2
14360,4
16433,1
17236,1
2231,2
7876,0
14100,0
10674,0
6000,0
10494,3
11331,4
11676,0
1664,1
16933,4
9590,1
15794,1
2114,4
2883,3
8372,0
11946,0
11614,4
935,4
6294,1
9053,4
582,0
11783,2
5428,4
11218,4
16264,4
10236,1
17571,3
13098,3
4179,3
6459,0
17188,0
5859,1
9228,0
798,4
7148,2
9399,4
3366,2
14479,4
3188,3
9945,3
15943,0
9807,4
14954,4
883,2
6815,0
3644,3
11841,0
4910,1
1996,1
10681,3
10679,4
7874,3
11544,0
15856,2
7226,4
16162,0
16343,4
6381,2
17476,3
8699,3
13154,1
14284,2
10992,4
2816,0
